<LINE 1>
Injongo	i[NPrePre9]-n[BPre9]-jongo[NStem]
ngenxa	ngenxa[Conj]
yokugqwesa	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-gqwes[VRoot]-a[VerbTerm]
,	,[Punc]
iibhasari	i[NPrePre10]-zi[BPre10]-bhasari[NStem]
kunye	kunye[Conj]
nezipho	na[AdvPre]-i[NPrePre8]-zi[BPre8]-pho[NStem]
zokufunda	za[PossConc8]-u[NPrePre15]-ku[BPre15]-fund[VRoot]-a[VerbTerm]
,	,[Punc]
uphando	u[NPrePre11]-lu[BPre11]-phando[NStem]
kunye	kunye[Conj]
nokufundisa	na[AdvPre]-u[NPrePre15]-ku[BPre15]-fund[VRoot]-is[CausExt]-a[VerbTerm]
,	,[Punc]
kufuneka	ku[SC15]-funek[VRoot]-a[VerbTerm]
,	,[Punc]
ngaphezulu	nga[AdvPre]-phezulu[Adv]
kwale	kwa[PossConc15]-le[Dem4][Pos1]
miqulu	mi[BPre4]-qulu[NStem]
ingentla	i[RelConc4]-nge[AdvPre]-ntla[Adv]
,	,[Punc]
igcwalise	i[SC4]-gcwal[VRoot]-is[CausExt]-e[VerbTerm]
iSibhengezo	i[NPrePre7]-si[BPre7]-bhengezo[NStem]
seSithembiso	sa[PossConc7]-i[NPrePre7]-si[BPre7]-thembiso[NStem]
eSibhaliweyo	esi[RelConc7]-bhal[VRoot]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
ekuthiwa	e[RelConc9]-ku[SCIndef]-th[VRoot]-iw[PassExt]-a[VerbTerm]
yi-EI	y[CopPre]-i[NPrePre9]-EI[Abbr]
3	3[Num]
Written	Written[Foreign]
Undertaking	Undertaking[Foreign]
.	.[Punc]
<LINE 96>
Izikolo	i[NPrePre8]-zi[BPre8]-kolo[NStem]
zoluntu	za[PossConc8]-u[NPrePre11]-lu[BPre11]-ntu[NStem]
kunye	kunye[Conj]
nezizimeleyo	na[AdvPre]-ezi[RelConc8]-zi[ReflPre]-m[VRoot]-el[ApplExt]-e[VerbTerm]-yo[RelSuf]
(	([Punc]
ezabucala	ezi[RelConc8]-za[PossConc8]-bucala[NStem]
)	)[Punc]
,	,[Punc]
amaziko	a[NPrePre6]-ma[BPre6]-ziko[NStem]
emfundo	a[PossConc6]-i[NPrePre9]-n[BPre9]-fundo[NStem]
ephakamileyo	e[RelConc9]-phakam[VRoot]-ile[Perf]-yo[RelSuf]
,	,[Punc]
amaziko	a[NPrePre6]-ma[BPre6]-ziko[NStem]
emfundo	a[PossConc6]-i[NPrePre9]-n[BPre9]-fundo[NStem]
esisiseko	esi[RelConc7]-si[BPre7]-seko[NStem]
noqeqesho	na[AdvPre]-u[NPrePre11]-lu[BPre11]-qeqesho[NStem]
lwabantu	lwa[PossConc11]-a[NPrePre2]-ba[BPre2]-ntu[NStem]
abadala	aba[AdjPref2]-dala[AdjStem]
(	([Punc]
i-ABET	i[NPrePre9]-ABET[Abbr]
)	)[Punc]
,	,[Punc]
ndawonye	n[BPre9]-dawo[NStem]-nye[AdjStem]
namaziko	na[AdvPre]-a[NPrePre6]-ma[BPre6]-ziko[NStem]
emfundo	a[PossConc6]-i[NPrePre9]-n[BPre9]-fundo[NStem]
noqeqesho	na[AdvPre]-u[NPrePre11]-lu[BPre11]-qeqesho[NStem]
oluqhubekayo	olu[RelConc11]-qhub[VRoot]-ek[NeutExt]-a[VerbTerm]-yo[RelSuf]
(	([Punc]
i-FET	i[NPrePre9]-FET[Abbr]
)	)[Punc]
,	,[Punc]
kufuneka	ku[SCIndef]-funek[VRoot]-a[VerbTerm]
zifake	zi[SC8]-fak[VRoot]-e[VerbTerm]
ikopi	i[NPrePre9]-kopi[NStem]
yesatifikethi	ya[PossConc9]-i[NPrePre7]-si[BPre7]-satifikethi[NStem]
sobhaliso	sa[PossConc7]-u[NPrePre11]-lu[BPre11]-bhaliso[NStem]
esikhutshwe	esi[RelConc7]-khuph[VRoot]-w[PassExt]-e[VerbTerm]
nguGunyaziwe	ng[CopPre]-u[NPre1a]-gunyaz[VRoot]-iw[PassExt]-e[VerbTerm]
obandakanyekayo	o[RelConc1]-bandakany[VRoot]-ek[NeutExt]-a[VerbTerm]-yo[RelSuf]
weMfundo	wa[PossConc1]-i[NPrePre9]-n[BPre9]-fundo[NStem]
.	.[Punc]
<LINE 97>
Inkxaso	i[NPrePre9]-n[BPre9]-kxaso[NStem]
yokunakekela	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-nak[VRoot]-ek[NeutExt]-el[ApplExt]-a[VerbTerm]
omnye	om[AdjPref1]-nye[AdjStem]
umntu	u[NPrePre1]-m[BPre1]-ntu[NStem]
luxanduva	l[CopPre]-u[NPrePre11]-lu[BPre11]-xanduva[NStem]
lokunika	lwa[PossConc11]-u[NPrePre15]-ku[BPre15]-nik[VRoot]-a[VerbTerm]
omnye	om[AdjPref1]-nye[AdjStem]
umntu	u[NPrePre1]-m[BPre1]-ntu[NStem]
,	,[Punc]
umzekelo	u[NPrePre3]-m[BPre3]-zekelo[NStem]
umntwana	u[NPrePre1]-m[BPre1]-ntu[NStem]-ana[DimSuf]
ongekabinamalungelo	o[RelConc1]-nge[NegExt]-ka[ExclNeg]-bi[VCop]-na[CopPre]-a[NPrePre6]-ma[BPre6]-lungelo[NStem]
okuzithabathela	oku[RelConc15]-zi[ReflPre]-thabath[VRoot]-el[ApplExt]-a[VerbTerm]
izigqibo	i[NPrePre8]-zi[BPre8]-gqibo[NStem]
ngokwasemthethweni	nga[AdvPre]-okwa[AdvPre]-s[PreLoc-s]-e[LocPre]-u[NPrePre3]-m[BPre3]-thetho[NStem]-ini[LocSuf]
,	,[Punc]
ukutya	u[NPrePre15]-ku[BPre15]-tya[NStem]
,	,[Punc]
indlu	i[NPrePre9]-n[BPre9]-dlu[NStem]
,	,[Punc]
impahla	i[NPrePre9]-n[BPre9]-pahla[NStem]
yokunxiba	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-nxib[VRoot]-a[VerbTerm]
,	,[Punc]
imfundo	i[NPrePre9]-n[BPre9]-fundo[NStem]
kunye	kunye[Conj]
nonakekelo	na[AdvPre]-u[NPrePre11]-lu[NPre11]-nakekelo[NStem]
lonyango	lwa[PossConc11]-u[NPrePre11]-lu[BPre11]-nyango[NStem]
,	,[Punc]
okanye	okanye[Conj]
ukulungiselela	u[NPrePre15]-ku[BPre15]-lungis[VRoot]-el[ApplExt]-el[ApplExt]-a[VerbTerm]
omnye	om[AdjPref1]-nye[AdjStem]
umntu	u[NPrePre1]-m[BPre1]-ntu[NStem]
iindlela	i[NPrePre10]-zin[BPre10]-dlela[NStem]
nezinto	na[AdvPre]-i[NPrePre10]-zin[BPre10]-to[NStem]
eziyimfuneko	ezi[RelConc10]-y[CopPre]-i[NPrePre9]-n[BPre9]-funeko[NStem]
ukuze	ukuze[Conj]
anikwe	a[SC1]-nik[VRoot]-w[PassExt]-e[VerbTerm]
ezi	ezi[Dem10][Pos1]
zinto	zin[BPre10]-to[NStem]
zidingekayo	zi[RelConc10]-ding[VRoot]-ek[NeutExt]-a[VerbTerm]-yo[RelSuf]
kwimpilo	ku[LocPre]-i[NPrePre9]-n[BPre9]-philo[NStem]
yakhe	ya[PossConc9]-khe[PossPron1]
.	.[Punc]
<LINE 98>
Olu	Olu[Dem11][Pos1]
xanduva	xanduva[NStem]
lwasemthethweni	lwa[PossConc11]-s[PreLoc-s]-e[LocPre]-u[NPrePre3]-m[BPre3]-thetho[NStem]-ini[LocSuf]
lokunika	lwa[PossConc11]-u[NPrePre15]-ku[BPre15]-nik[VRoot]-a[VerbTerm]
inkxaso	i[NPrePre9]-n[BPre9]-kxaso[NStem]
lubizwa	u[SC11]-biz[VRoot]-w[PassExt]-a[VerbTerm]
ngokuba	nga[AdvPre]-ukuba[Conj]
'	'[Punc]
luxanduva	l[CopPre]-u[NPrePre11]-lu[BPre11]-xanduva[NStem]
lokuxhasa	lwa[PossConc11]-u[NPrePre15]-ku[BPre15]-xhas[VRoot]-a[VerbTerm]
okanye	okanye[Conj]
'	'[Punc]
luxanduva	l[CopPre]-u[NPrePre11]-lu[BPre11]-xanduva[NStem]
lokusapota	lwa[PossConc11]-u[NPrePre15]-ku[BPre15]-sapot[VRoot]-a[VerbTerm]
'	'[Punc]
.	.[Punc]
<LINE 99>
Ngubani	ng[CopPre]-u[NPrePre1]-bani[Interrog]
ekufuneka	e[RelConc9]-ku[BPre15]-funek[VRoot]-a[VerbTerm]
akhuphe	a[SC1]-khuph[VRoot]-e[VerbTerm]
inkxaso	i[NPrePre9]-n[BPre9]-kxaso[NStem]
yokunakekela	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-nak[VRoot]-ek[NeutExt]-el[ApplExt]-a[VerbTerm]
omnye	om[AdjPref1]-nye[AdjStem]
umntu	u[NPrePre1]-m[BPre1]-ntu[NStem]
(	([Punc]
isapoti	i[NPrePre7]-sapoti[NStem]
)	)[Punc]
?	?[Punc]
<LINE 100>
Uxanduva	u[NPrePre11]-lu[BPre11]-xanduva[NStem]
lokusapota	lwa[PossConc11]-u[NPrePre11]-ku[BPre11]-sapot[VRoot]-a[VerbTerm]
lusekelwe	lu[SC11]-sek[VRoot]-el[ApplExt]-w[PassExt]-e[VerbTerm]
kubudlelwane	ku[LocPre]-u[NPrePre14]-bu[BPre14]-dlelwane[NStem]
begazi	ba[PossConc14]-i[NPrePre5]-li[BPre5]-gazi[NStem]
,	,[Punc]
ukwamkelwa	u[NPrePre15]-ku[BPre15]-amkel[VRoot]-w[PassExt]-a[VerbTerm]
komntwana	kwa[PossConc15]-u[NPrePre1]-m[BPre1]-ntu[NStem]-ana[DimSuf]
abengowomnye	a[SC1]-be[VCop]-ng[CopPre]-o[RelConc1]-wa[PossConc1]-om[AdjPref1]-nye[AdjStem]
umntu	u[NPrePre1]-m[BPre1]-ntu[NStem]
okanye	okanye[Conj]
abantu	a[NPrePre2]-ba[BPre2]-ntu[NStem]
ngokusemthethweni	nga[AdvPre]-oku[RelConc15]-s[PreLoc-s]-e[LocPre]-u[NPrePre3]-m[BPre3]-thetho[NStem]-ini[LocSuf]
okanye	okanye[Conj]
kwimeko	ku[LocPre]-i[NPrePre9]-meko[NStem]
yokokuba	ya[PossConc9]-oko[AdvPre]-kuba[Conj]
aba	aba[Dem2][Pos1]
bantu	ba[BPre2]-ntu[NStem]
batshatile	ba[SC2]-tshat[VRoot]-ile[Perf]
.	.[Punc]
<LINE 101>
Umntwana	u[NPrePre1]-m[BPre1]-ntu[NStem]-ana[DimSuf]
kufuneka	ku[SCIndef]-funek[VRoot]-a[VerbTerm]
asapotwe	a[SC1]-sapot[VRoot]-w[PassExt]-e[VerbTerm]
okanye	okanye[Conj]
axhaswe	a[SC1]-xhas[VRoot]-w[PassExt]-e[VerbTerm]
<LINE 102>
Ngabazali	ng[AdvPre]-a[NPrePre2]-ba[BPre2]-zali[NStem]
bakhe	ba[PossConc2]-khe[PossPron1]
,	,[Punc]
nokuba	na[AdvPre]-ukuba[Conj]
batshatile	ba[SC2]-tshat[VRoot]-ile[Perf]
,	,[Punc]
bayahlalisana	ba[SC2]-ya[Pres]-hlal[VRoot]-is[CausExt]-an[RecipExt]-a[VerbTerm]
,	,[Punc]
bahlukene	ba[SC2]-ahlukan[VRoot]-ile[Perf]
okanye	okanye[Conj]
baqhawule	ba[SC2]-qhawul[VRoot]-e[VerbTerm]
umtshato	u[NPrePre3]-m[BPre3]-tshato[NStem]
(	([Punc]
badivosile	ba[SC2]-divos[VRoot]-ile[Perf]
)	)[Punc]
,	,[Punc]
kubandakanywa	ku[SC15]-bandakany[VRoot]-w[PassExt]-a[VerbTerm]
abazali	a[NPrePre2]-ba[BPre2]-zali[NStem]
abamkele	aba[RelConc2]-amkel[VRoot]-e[VerbTerm]
umntwana	u[NPrePre1]-m[BPre1]-ntu[NStem]-ana[DimSuf]
wabangowabo	u[SC1]-a[Past]-ba[VCop]-ng[CopPre]-o[RelConc1]-wa[PossConc1]-bo[PossPron2]
ngokusemthethweni	nga[AdvPre]-oku[RelConc15]-s[PreLoc-s]-e[LocPre]-u[NPrePre3]-m[BPre3]-thetho[NStem]-ini[LocSuf]
;	;[Punc]
kunye	kunye[Conj]
/	/[Punc]
okanye	okanye[Conj]
<LINE 103>
Ootatomkhulu	Oo[NPrePre2a]-tatomkhulu[NStem]
noomakhulu	na[AdvPre]-oo[NPrePre2a]-makhulu[NStem]
bakhe	ba[PossConc2]-khe[PossPron1]
,	,[Punc]
nokuba	na[AdvPre]-ukuba[Conj]
ngaba	ngaba[Interrog]
abazali	a[NPrePre2]-ba[BPre2]-zali[NStem]
bomntwana	ba[PossConc2]-u[NPrePre1]-m[BPre1]-ntu[NStem]-ana[DimSuf]
babetshatile	ba[SC2]-be[SC2]-tshat[VRoot]-ile[Perf]
okanye	okanye[Conj]
babengatshatanga	ba[SC2]-be[SC2]-nga[NegExt]-tshat[VRoot]-a[VerbTerm]-nga[NegExt]
.	.[Punc]
<LINE 104>
Kodwa	kodwa[Conj]
ke	ke[Conj]
oku	oku[Dem15][Pos1]
kwahluka	ku[SC15]-ahluk[VRoot]-a[VerbTerm]
ngokwemeko	nga[AdvPre]-okwa[AdvPre]-i[NPrePre9]-meko[NStem]
ngemeko	nga[AdvPre]-i[NPrePre9]-meko[NStem]
.	.[Punc]
<LINE 105>
Uxanduva	u[NPrePre11]-lu[BPre11]-xanduva[NStem]
lokusapota	lwa[PossConc11]-u[NPrePre15]-ku[BPre15]-sapot[VRoot]-a[VerbTerm]
ilungu	i[NPrePre5]-li[BPre5]-lungu[NStem]
losapho	la[PossConc5]-u[NPrePre11]-lu[BPre11]-sapho[NStem]
(	([Punc]
lefemeli	la[PossConc5]-i[NPrePre9]-femeli[NStem]
)	)[Punc]
aliqingqelwa	a[NegExt]-li[SC11]-gingq[VRoot]-el[ApplExt]-w[PassExt]-a[VerbTerm]
nje	nje[Adv]
kuphela	kuphela[Adv]
ukusapota	u[NPrePre15]-ku[BPre15]-sapot[VRoot]-a[VerbTerm]
umntwana	u[NPrePre1]-m[BPre1]-ntu[NStem]-ana[DimSuf]
.	.[Punc]
<LINE 106>
Naliphina	na[AdvPre]-li[EnumConc5]-phi[EnumStem]-na[Interrog]
ilungu	i[NPrePre5]-li[BPre5]-lungu[NStem]
lefemeli	la[PossConc5]-i[NPrePre9]-femeli[NStem]
,	,[Punc]
nokuba	na[AdvPre]-ukuba[Conj]
lineminyaka	li[CopPre]-na[CopPre]-i[NPrePre4]-mi[BPre4]-nyaka[NStem]
yobudala	ya[PossConc4]-u[NPrePre14]-bu[BPre14]-dala[AdjStem]
engakanani	e[RelConc4]-ngaka[RelStem]-nani[Interrog]
na	na[Interrog]
,	,[Punc]
lingacela	li[SC5]-nga[AdvPre]-cel[VRoot]-a[VerbTerm]
naliphina	na[AdvPre]-li[EnumConc5]-phi[EnumStem]-na[Interrog]
ilungu	i[NPrePre5]-li[BPre5]-lungu[NStem]
lefemeli	la[PossConc5]-i[NPrePre9]-femeli[NStem]
lilisapote	li[SC5]-li[OC5]-sapot[VRoot]-e[VerbTerm]
okanye	okanye[Conj]
lilixhase	li[SC5]-li[OC5]-xhas[VRoot]-e[VerbTerm]
,	,[Punc]
kodwa	kodwa[Conj]
ke	ke[Conj]
xa	xa[Conj]
ngaba	ngaba[Interrog]
le	le[Dem4][Pos1]
miqathango	mi[BPre4]-qathango[NStem]
mibini	mi[AdjPref4]-bini[AdjStem]
ilandelayo	i[RelConc4]-landel[VRoot]-a[VerbTerm]-yo[RelSuf]
ifezekisiwe	i[SC4]-fezek[VRoot]-is[CausExt]-iw[PassExt]-e[VerbTerm]
:	:[Punc]
<LINE 107>
Iilungu	i[CopPre]-i[NPrePre5]-li[BPre5]-lungu[NStem]
lefemeli	la[PossConc5]-i[NPrePre9]-femeli[NStem]
elibanga	eli[RelConc5]-bang[VRoot]-a[VerbTerm]
isapoti	i[NPrePre7]-sapoti[NStem]
alinako	a[NegExt]-li[SC5]-na[CopPre]-ko[AbsPron15]
ukuzisapota	u[NPrePre15]-ku[BPre15]-zi[ReflPre]-sapot[VRoot]-a[VerbTerm]
ngokwalo	nga[AdvPre]-o[RelConc1]-kwa[PossConc15]-lo[Dem5][Pos2]
.	.[Punc]
<LINE 108>
Ilungu	i[NPrePre5]-li[BPre5]-lungu[NStem]
lefemeli	la[PossConc5]-i[NPrePre9]-femeli[NStem]
ekucelwa	e[LocPre]-u[NPrePre15]-ku[BPre15]-cel[VRoot]-w[PassExt]-a[VerbTerm]
kulo	ku[LocPre]-lo[Dem5][Pos2]
isapoti	i[NPrePre7]-sapoti[NStem]
alinakoyisakala	a[NegExt]-li[CopPre]-na[CopPre]-ko[AbsPron15]-oyis[VRoot]-akal[NeutExt]-a[VerbTerm]
ukusikhupha	u[NPrePre15]-ku[BPre15]-si[OC7]-khuph[VRoot]-a[VerbTerm]
esi	esi[Dem7][Pos1]
sapoti	sapoti[NStem]
sibangwayo	si[RelConc7]-bang[VRoot]-w[PassExt]-a[VerbTerm]-yo[RelSuf]
.	.[Punc]
<LINE 109>
Zeziphi	z[CopPre]-ezi[EnumConc10]-phi[EnumStem]
iinkcitho	i[NPrePre10]-zin[BPre10]-kcitho[NStem]
ezingabangwa	ezi[RelConc10]-nga[Pot]-bang[VRoot]-w[PassExt]-a[VerbTerm]
?	?[Punc]
<LINE 110>
Ungabanga	u[SC2ps]-nga[Pot]-bang[VRoot]-a[VerbTerm]
isapoti	i[NPrePre7]-sapoti[NStem]
esiqiqileyo	esi[RelConc7]-qiq[VRoot]-ile[Perf]-yo[RelSuf]
esiyimfuneko	esi[RelConc7]-y[CopPre]-i[NPrePre9]-n[BPre9]-funeko[NStem]
ukuze	ukuze[Conj]
unike	u[SC2ps]-nik[VRoot]-e[VerbTerm]
umntwana	u[NPrePre1]-m[BPre1]-ntu[NStem]-ana[DimSuf]
okanye	okanye[Conj]
omnye	om[AdjPref1]-nye[AdjStem]
umntu	u[NPrePre1]-m[BPre1]-ntu[NStem]
onelungelo	o[RelConc1]-na[CopPre]-i[NPrePre5]-li[BPre5]-lungelo[NStem]
lokusapotwa	lwa[PossConc11]-u[NPrePre15]-ku[BPre15]-sapot[VRoot]-w[PassExt]-a[VerbTerm]
indlela	i[NPrePre9]-n[BPre9]-dlela[NStem]
yokuphila	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-phil[VRoot]-a[VerbTerm]
nokukhula	na[AdvPre]-u[NPrePre15]-ku[BPre15]-khul[VRoot]-a[VerbTerm]
okufanelekileyo	oku[RelConc15]-fanel[VRoot]-ek[NeutExt]-ile[Perf]-yo[RelSuf]
.	.[Punc]
<LINE 111>
Oku	oku[Dem15][Pos1]
kubandakanya	ku[SC15]-bandakany[VRoot]-a[VerbTerm]
ukunika	u[NPrePre15]-ku[BPre15]-nik[VRoot]-a[VerbTerm]
izinto	i[NPrePre10]-zin[BPre10]-to[NStem]
ezidingekayo	ezi[RelConc10]-ding[VRoot]-ek[NeutExt]-a[VerbTerm]-yo[RelSuf]
empilweni	e[LocPre]-i[NPrePre9]-n[BPre9]-philo[NStem]-ini[LocSuf]
ezifana	ezi[RelConc10]-fan[VRoot]-a[VerbTerm]
nokutya	na[AdvPre]-u[NPrePre15]-ku[BPre15]-ty[VRoot]-a[VerbTerm]
,	,[Punc]
impahla	i[NPrePre9]-n[BPre9]-pahla[NStem]
yokunxiba	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-nxib[VRoot]-a[VerbTerm]
kunye	kunye[Conj]
nendlu	na[AdvPre]-i[NPrePre9]-n[BPre9]-dlu[NStem]
,	,[Punc]
ndawonye	n[BPre9]-dawo[NStem]-nye[AdjStem]
nokuhlawuwulela	na[AdvPre]-u[NPrePre15]-ku[BPre15]-hlawul[VRoot]-el[ApplExt]-a[VerbTerm]
imfundo	i[NPrePre9]-n[BPre9]-fundo[NStem]
efanelekileyo	e[RelConc9]-fanel[VRoot]-ek[NeutExt]-ile[Perf]-yo[RelSuf]
.	.[Punc]
<LINE 112>
Inkundla	i[NPrePre9]-n[BPre9]-kundla[NStem]
ingayalela	i[SC9]-nga[Pot]-yalel[VRoot]-a[VerbTerm]
nokuba	na[AdvPre]-ukuba[Conj]
utata	u[SC1a]-tata[NStem]
womntwana	wa[PossConc1]-u[NPrePre1]-m[BPre1]-ntu[NStem]-ana[DimSuf]
enze	enz[VRoot]-e[VerbTerm]
igalelo	i[NPrePre5]-li[BPre5]-galelo[NStem]
kwintlawulo	ku[LocPre]-i[NPrePre9]-n[BPre9]-tlawulo[NStem]
yeendleko	ya[PossConc9]-i[NPrePre10]-zin[BPre10]-dleko[NStem]
zokulungiselelwa	za[PossConc10]-u[NPrePre15]-ku[BPre15]-lungis[VRoot]-el[ApplExt]-el[ApplExt]-w[PassExt]-a[VerbTerm]
komntwana	kwa[PossConc15]-u[NPrePre1]-m[BPre1]-ntu[NStem]-ana[DimSuf]
kunye	kunye[Conj]
nenkxaso	na[AdvPre]-i[NPrePre9]-n[BPre9]-kxaso[NStem]
ukusukela	u[NPrePre15]-ku[BPre15]-suk[VRoot]-el[ApplExt]-a[VerbTerm]
kumhla	ku[LocPre]-u[NPrePre3]-m[BPre3]-hla[NStem]
wokuzalwa	wa[PossConc3]-u[NPrePre15]-ku[BPre15]-zal[VRoot]-w[PassExt]-a[VerbTerm]
komntwana	kwa[PossConc15]-u[NPrePre1]-m[BPre1]-ntu[NStem]-ana[DimSuf]
ukuyakutsho	u[NPrePre15]-ku[BPre15]-y[VRoot]-a[VerbTerm]-ku[LocPre]-tsh[VRoot]-o[VerbTerm]
kumhla	ku[LocPre]-u[NPrePre3]-m[BPre3]-hla[NStem]
wokunikwa	wa[PossConc3]-u[NPrePre15]-ku[BPre15]-nik[VRoot]-w[PassExt]-a[VerbTerm]
komyalelo	kwa[PossConc15]-u[NPrePre3]-m[BPre3]-yalelo[NStem]
wesapoti	wa[PossConc3]-i[NPrePre7]-sapoti[NStem]
.	.[Punc]
<LINE 113>
Inkundla	i[NPrePre9]-n[BPre9]-kundla[NStem]
inganika	i[SC9]-nga[Pot]-nik[VRoot]-a[VerbTerm]
nomyalelo	na[AdvPre]-u[NPrePre3]-m[BPre3]-yalelo[NStem]
wokuhlawulwa	wa[PossConc3]-u[NPrePre15]-ku[BPre15]-hlawul[VRoot]-w[PassExt]-a[VerbTerm]
kweendleko	kwa[PossConc15]-i[NPrePre10]-zin[BPre10]-dleko[NStem]
zonyango	za[PossConc10]-u[NPrePre11]-lu[BPre11]-nyango[NStem]
okanye	okanye[Conj]
ingayalela	i[SC9]-nga[Pot]-yalel[VRoot]-a[VerbTerm]
ukuba	ukuba[Conj]
umntwana	u[NPrePre1]-m[BPre1]-ntu[NStem]-ana[DimSuf]
abhaliswe	a[SC1]-bhal[VRoot]-is[CausExt]-w[PassExt]-e[VerbTerm]
phantsi	phantsi[Adv]
kwesikim	kwa[PossConc15]-i[NPrePre7]-si[BPre7]-kim[NStem]
sonyango	sa[PossConc7]-u[NPrePre11]-lu[BPre11]-nyango[NStem]
somnye	sa[PossConc7]-om[AdjPref1]-nye[AdjStem]
wabazali	wa[PossConc1]-a[NPrePre2]-ba[BPre2]-zali[NStem]
njengomntu	njenga[AdvPre]-u[NPrePre1]-m[BPre1]-ntu[NStem]
oxhomekekileyo	o[RelConc1]-xhomekek[VRoot]-ile[Perf]-yo[RelSuf]
.	.[Punc]
<LINE 114>
Ukwenzela	u[NPrePre15]-ku[BPre15]-enz[VRoot]-el[ApplExt]-a[VerbTerm]
ukuba	ukuba[Conj]
inkundla	i[NPrePre9]-n[BPre9]-kundla[NStem]
ikwazi	i[SC9]-ku[BPre15]-az[VRoot]-i[VerbTerm]
ukukhupha	u[NPrePre15]-ku[BPre15]-khuph[VRoot]-a[VerbTerm]
umyalelo	u[NPrePre3]-m[BPre3]-yalelo[NStem]
wesapoti	wa[PossConc3]-i[NPrePre7]-sapoti[NStem]
ofanelekileyo	o[RelConc3]-fanel[VRoot]-ek[NeutExt]-ile[Perf]-yo[RelSuf]
,	,[Punc]
bobabini	bo[QuantConc2]-ba[BPre2]-bini[AdjStem]
abazali	a[NPrePre2]-ba[BPre2]-zali[NStem]
mabanike	ma[ImpPre]-ba[SC2]-nik[VRoot]-e[VerbTerm]
inkundla	i[NPrePre9]-n[BPre9]-kundla[NStem]
ubungqina	u[NPrePre14]-bu[BPre14]-ngqin[VRoot]-a[VerbTerm]
beendleko	ba[PossConc14]-i[NPrePre10]-zin[BPre10]-dleko[NStem]
zabo	za[PossConc10]-bo[AbsPron2]
.	.[Punc]
<LINE 115>
Imbono	i[NPrePre9]-n[BPre9]-bono[NStem]
yakho	ya[PossConc9]-kho[PossPron2ps]
ngokuziphatha	nga[AdvPre]-u[NPrePre15]-ku[BPre15]-zi[ReflPre]-phath[VRoot]-a[VerbTerm]
komnye	kwa[PossConc15]-om[AdjPref1]-nye[AdjStem]
umzali	u[NPrePre1]-m[BPre1]-zali[NStem]
ayilichaphazeli	a[NegExt]-yi[Pres]-li[OC5]-chaphazel[VRoot]-i[VerbTerm]
ilungelo	i[NPrePre5]-li[BPre5]-lungelo[NStem]
labantwana	la[PossConc5]-a[NPrePre2]-ba[BPre2]-ntu[NStem]-ana[DimSuf]
bakho	ba[PossConc2]-kho[PossPron2ps]
lokufumana	la[PossConc5]-u[NPrePre15]-ku[BPre15]-fuman[VRoot]-a[VerbTerm]
isapoti	i[NPrePre7]-sapoti[NStem]
.	.[Punc]
Kukwafuneka	ku[SCIndef]-kwa[AdvPre]-funek[VRoot]-a[VerbTerm]
usihlawule	u[SC2ps]-si[OC7]-hlawul[VRoot]-e[VerbTerm]
isapoti	i[NPrePre7]-sapoti[NStem]
,	,[Punc]
nokuba	na[AdvPre]-ukuba[Conj]
ngaba	ngaba[Interrog]
omnye	om[AdjPref1]-nye[AdjStem]
lo	lo[Dem1][Pos1]
umzali	u[NPrePre1]-m[BPre1]-zali[NStem]
<LINE 116>
uphinde	u[SC1]-phind[VRoot]-e[VerbTerm]
watshata	u[SC1]-a[Past]-tshat[VRoot]-a[VerbTerm]
;	;[Punc]
<LINE 117>
uhambisana	u[SC1]-hamb[VRoot]-is[CausExt]-an[RecipExt]-a[VerbTerm]
(	([Punc]
unobudlelwane	u[SC1]-na[AdvPre]-u[NPrePre14]-bu[BPre14]-dlelwane[NStem]
)	)[Punc]
nomnye	na[AdvPre]-om[AdjPref1]-nye[AdjStem]
umntu	u[NPrePre1]-m[BPre1]-ntu[NStem]
;	;[Punc]
<LINE 118>
akavumi	a[NegExt]-ka[SC1]-vum[VRoot]-i[VerbTerm]
ukuba	ukuba[Conj]
ubone	u[SC2ps]-bon[VRoot]-e[VerbTerm]
abantwana	a[NPrePre2]-ba[BPre2]-ntu[NStem]-ana[DimSuf]
;	;[Punc]
okanye	okanye[Conj]
<LINE 119>
ukuba	ukuba[Conj]
ngaba	ngaba[Interrog]
nawuphina	na[AdvPre]-wu[EnumConc1]-phi[EnumStem]-na[Interrog]
umbandakanyeki	u[NPrePre1]-m[BPre1]-bandakanyeki[NStem]
emva	e[LocPre]-u[NPrePre3]-m[BPre3]-va[NStem]
kwexesha	kwa[PossConc15]-i[NPrePre5]-li[BPre5]-xesha[NStem]
labanye	la[PossConc5]-aba[AdjPref2]-nye[AdjStem]
abantwana	a[NPrePre2]-ba[BPre2]-ntu[NStem]-ana[DimSuf]
.	.[Punc]
<LINE 120>
Uxanduva	u[NPrePre11]-lu[BPre11]-xanduva[NStem]
lwakho	lwa[PossConc11]-kho[PossPron2ps]
lokuhlawula	lwa[PossConc11]-u[NPrePre15]-ku[BPre15]-hlawul[VRoot]-a[VerbTerm]
isapoti	i[NPrePre7]-sapoti[NStem]
kunye	kunye[Conj]
